pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.75 w8,500,0.706,147,0.294,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.75_w8_0702_1619
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.90 w16,500,0.674,163,0.326,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.90_w16_0625_1449
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.75 w16,500,0.654,173,0.346,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w16_0702_1640
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.75 w16,500,0.542,229,0.458,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.75_w16_0702_1631
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.85 w8,500,0.64,180,0.36,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.85_w8_0625_1446
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.85 w16,500,0.722,139,0.278,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.85_w16_0702_1652
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.85 w8,500,0.518,241,0.482,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.85_w8_0702_1610
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.65 w8,500,0.686,157,0.314,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.65_w8_0702_1616
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.85 w8,500,0.712,144,0.288,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.85_w8_0702_1623
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.85 w16,500,0.662,169,0.338,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.85_w16_0702_1644
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.75 w8,500,0.48,260,0.52,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.75_w8_0702_1606
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.65 w16,500,0.672,164,0.328,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.65_w16_0702_1646
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.90 s=0.65 w16,500,0.506,247,0.494,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w16_0702_1626
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.75 w8,500,0.642,179,0.358,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0625_1442
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.95 s=0.65 w16,500,0.65,175,0.35,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.65_w16_0702_1637
